"main_genre","subgenre"
"Jazz","Free funk"
"Jazz","Free improvisation"
"Jazz","Free jazz"
"Jazz","Gypsy jazz"
"Jazz","Hard bop"
"Jazz","Jazz blues"
"Jazz","Jazz-funk"
"Jazz","Jazz fusion"
"Jazz","Jazz rap"
"Jazz","Jazz rock"
"Jazz","Jazztronica"
"Jazz","Kansas City jazz"
"Jazz","Latin jazz"
"Jazz","Livetronica"
"Jazz","M-base"
"Jazz","Mainstream jazz"
"Jazz","Modal jazz"
"Jazz","Neo-bop jazz"
"Jazz","Neo-swing"
"Jazz","Nu jazz"
"Jazz","Orchestral jazz"
"Jazz","Post-bop"
"Jazz","Progressive jazz"
"Jazz","Punk jazz"
"Jazz","Samba-jazz"
"Jazz","Shibuya-kei"
"Jazz","Ska jazz"
"Jazz","Smooth jazz"
"Jazz","Soul jazz"
"Jazz","Straight-ahead jazz"
"Jazz","Stride jazz"
"Jazz","Swing"
"Jazz","Trad jazz"
"Jazz","Third stream"
"Jazz","Vocal jazz"
"Jazz","West Coast jazz"
"Pop","Adult contemporary"
"Pop","Adult hits"
"Pop","Alternative pop"
"Pop","Ambient pop"
"Pop","Arabic pop music"
"Pop","Art pop"
"Pop","Avant-pop"
"Pop","Baroque pop"
"Pop","Beach music"
"Pop","Bedroom pop"
"Pop","Brill building"
"Pop","Britpop"
"Pop","Bubblegum pop"
"Pop","C-pop"
"Pop","Cantopop"
"Pop","Hokkien pop"
"Pop","Mandopop"
"Pop","Canción"
"Pop","Canzone"
"Pop","Chalga"
"Pop","Chamber pop"
"Pop","Chanson"
"Pop","Christian pop"
"Pop","Classic hits"
"Pop","Classical crossover"
"Pop","Contemporary hit radio"
"Pop","Country pop"
"Pop","Cringe pop"
"Pop","Dance-pop"
"Pop","Dark pop"
"Pop","Disco polo"
"Pop","Electropop"
"Pop","Europop"
"Pop","Austropop"
"Pop","Eurobeat"
"Pop","French pop"
"Pop","Italo dance"
"Pop","Italo disco"
"Pop","Laïkó"
"Pop","Nederpop"
"Pop","Neomelodic music"
"Pop","Nordic popular music"
"Pop","Russian pop"
"Pop","Folk pop"
"Pop","Hyperpop"
"Pop","Indie pop"
"Pop","Twee pop"
"Pop","Indian pop"
"Pop","Iranian pop"
"Pop","J-pop"
"Pop","Anime song"
"Pop","City pop"
"Pop","Shibuya-kei"
"Pop","Jangle pop"
"Pop","Jazz pop"
"Pop","K-pop"
"Pop","Korean hip hop"
"Pop","Korean rock"
"Pop","T'ong guitar"
"Pop","Trot"
"Pop","Latin ballad"
"Pop","Latin pop"
"Pop","Mexican pop"
"Pop","New pop"
"Pop","New Romantic"
"Pop","Oldies"
"Pop","Operatic pop"
"Pop","OPM"
"Pop","Pinoy pop"
"Pop","Pop rap"
"Pop","Pop rock"
"Pop","Pop punk"
"Pop","Emo pop"
"Pop","Neon pop"
"Pop","Power pop"
"Pop","Soft rock"
"Pop","Surf pop"
"Pop","Yacht rock"
"Pop","Pop soul"
"Pop","Progressive pop"
"Pop","Psychedelic pop"
"Pop","Rebetiko"
"Pop","Rhythmic adult contemporary"
"Pop","Rhythmic contemporary"
"Pop","Rhythmic oldies"
"Pop","Schlager"
"Pop","Sophisti-pop"
"Pop","Space age pop"
"Pop","Sunshine pop"
"Pop","Swamp pop"
"Pop","Synth-pop"
"Pop","Teen pop"
"Pop","Traditional pop"
"Pop","Turbo-folk"
"Pop","Turkish pop"
"Pop","Urban adult contemporary"
"Pop","Urban contemporary music"
"Pop","Vispop"
"Pop","Wonky pop"
"Pop","Worldbeat"
"Pop","Yé-yé"
"R&B & soul","Alternative R&B"
"R&B & soul","Contemporary R&B"
"R&B & soul","Disco"
"R&B & soul","Freestyle"
"R&B & soul","Go-go"
"R&B & soul","Funk"
"R&B & soul","Deep funk"
"R&B & soul","Minneapolis Sound"
"R&B & soul","Psychedelic funk"
"R&B & soul","Synth-funk"
"R&B & soul","Gospel music"
"R&B & soul","Southern gospel"
"R&B & soul","Urban contemporary gospel"
"R&B & soul","New jack swing"
"R&B & soul","Post-disco"
"R&B & soul","Boogie"
"R&B & soul","Rhythm and blues"
"R&B & soul","Doo-wop"
"R&B & soul","Soul"
"R&B & soul","Blue-eyed soul"
"R&B & soul","Brown-eyed soul"
"R&B & soul","Cinematic soul"
"R&B & soul","Classic soul"
"R&B & soul","Hip hop soul"
"R&B & soul","Neo soul"
"R&B & soul","Northern soul"
"R&B & soul","Progressive soul"
"R&B & soul","Psychedelic soul"
"R&B & soul","Quiet storm"
"R&B & soul","Southern soul"
"Rock","Active rock"
"Rock","Adult album alternative"
"Rock","Adult-oriented rock"
"Rock","Afro rock"
"Rock","Album oriented rock"
"Rock","Alternative rock"
"Rock","Alternative dance"
"Rock","College rock"
"Rock","Dream pop"
"Rock","Shoegaze"
"Rock","Blackgaze"
"Rock","Grunge"
"Rock","Post-grunge"
"Rock","Indie rock"
"Rock","Dunedin sound"
"Rock","Kindie rock"
"Rock","Math rock"
"Rock","Midwest emo"
"Rock","Post-punk revival"
"Rock","Slacker rock"
"Rock","Madchester"
"Rock","Baggy"
"Rock","Noise pop"
"Rock","Sadcore"
"Rock","Slowcore"
"Rock","American rock"
"Rock","Anatolian rock"
"Rock","Arabic rock"
"Rock","Arena rock"
"Rock","Blues-rock"
"Rock","Beat"
"Rock","British Invasion"
"Rock","Freakbeat"
"Rock","Mod"
"Rock","Nederbeat"
"Rock","Blues rock"
"Rock","Boogie rock"
"Rock","Brazilian rock"
"Rock","Samba rock"
"Rock","British rock music"
"Rock","Chinese rock"
"Rock","Christian rock"
"Rock","Classic rock"
"Rock","Comedy rock"
"Rock","Country rock"
"Rock","Dark cabaret"
"Rock","Death 'n' roll"
"Rock","Deathrock"
"Rock","Desert rock"
"Rock","Electronic rock"
"Rock","Electroclash"
"Rock","Electronicore"
"Rock","Cold wave"
"Rock","Dark wave"
"Rock","Ethereal wave"
"Rock","Emo"
"Rock","Experimental rock"
"Rock","Art rock"
"Rock","Industrial rock"
"Rock","Post-punk"
"Rock","Dance-punk"
"Rock","Dance-rock"
"Rock","Gothic rock"
"Rock","No wave"
"Rock","Noise rock"
"Rock","Post-rock"
"Rock","Post-metal"
"Rock","Folk rock"
"Rock","British folk rock"
"Rock","Celtic rock"
"Rock","Medieval folk rock"
"Rock","Fire rock"
"Rock","Funk rock"
"Rock","Fusion rock"
"Rock","Garage rock"
"Rock","Proto-punk"
"Rock","Geek rock"
"Rock","Glam rock"
"Rock","Pagan rock"
"Rock","Hard rock"
"Rock","Heartland rock"
"Rock","Metal"
"Rock","Indian rock"
"Rock","Iranian rock"
"Rock","Instrumental rock"
"Rock","Japanese rock"
"Rock","Fusion jazz"
"Rock","Jazz rock"
"Rock","Korean rock"
"Rock","Latin rock"
"Rock","Chicano rock"
"Rock","Rock en español"
"Rock","Rock music in Mexico"
"Rock","Mainstream rock"
"Rock","Mangue bit"
"Rock","Modern rock"
"Rock","New wave of classic rock"
"Rock","Occult rock"
"Rock","Paisley Underground"
"Rock","Pop rock"
"Rock","Jangle pop"
"Rock","Power pop"
"Rock","Soft rock"
"Rock","Yacht rock"
"Rock","Progressive rock"
"Rock","Avant-prog"
"Rock","Rock in Opposition"
"Rock","Canterbury scene"
"Rock","Flamenco rock"
"Rock","Krautrock"
"Rock","Neo-prog"
"Rock","New prog"
"Rock","Post-progressive"
"Rock","Proto-prog"
"Rock","Space rock"
"Rock","Symphonic Rock"
"Rock","Zeuhl"
"Rock","Psychedelic rock"
"Rock","Acid rock"
"Rock","Freak scene"
"Rock","Neo-psychedelia"
"Rock","Raga rock"
"Rock","Pub rock"
"Rock","Punk rock"
"Rock","Rap rock"
"Rock","Rapcore"
"Rock","Reggæ rock"
"Rock","Rock and roll"
"Rock","Rockabilly"
"Rock","Gothabilly/Hellabilly"
"Rock","Psychobilly"
"Rock","Rock music in France"
"Rock","Rock opera"
"Rock","Roots rock"
"Rock","Southern rock"
"Rock","Stoner rock"
"Rock","Swamp rock"
"Rock","Sufi rock"
"Rock","Surf rock"
"Rock","Tropical rock"
"Rock","Turkish rock"
"Rock","Viking rock"
"Rock","Visual kei"
"Rock","Nagoya kei"
"Rock","Wizard rock"
"Rock","Worldbeat"
"Rock","World fusion"
"Metal","Alternative metal"
"Metal","Funk metal"
"Metal","Nu metal"
"Metal","Rap metal"
"Metal","Avant-garde metal"
"Metal","Drone metal"
"Metal","Post-metal"
"Metal","Black metal"
"Metal","Depressive suicidal black metal"
"Metal","Blackened death metal"
"Metal","Atmospheric black metal"
"Metal","Blackgaze"
"Metal","Melodic black metal"
"Metal","National Socialist black metal"
"Metal","Symphonic black metal"
"Metal","Avant-garde black metal"
"Metal","Post-black metal"
"Metal","Christian metal"
"Metal","Unblack metal"
"Metal","Death metal"
"Metal","Death 'n' roll"
"Metal","Deathgrind"
"Metal","Melodic death metal"
"Metal","Technical death metal"
"Metal","Brutal death metal"
"Metal","Slam death metal"
"Metal","Doom metal"
"Metal","Death-doom"
"Metal","Stoner-doom"
"Metal","Funeral doom"
"Metal","Folk doom"
"Metal","Atmospheric doom"
"Metal","Blackened doom"
"Metal","Gothic doom"
"Metal","Symphonic doom"
"Metal","Sludge doom"
"Metal","Drone doom"
"Metal","Extreme metal"
"Metal","Folk metal"
"Metal","Celtic metal"
"Metal","Medieval metal"
"Metal","Pagan metal"
"Metal","Viking metal"
"Metal","Pirate metal"
"Metal","Glam metal"
"Metal","Gothic metal"
"Metal","Grindcore"
"Metal","Industrial metal"
"Metal","Kawaii metal"
"Metal","Latin metal"
"Metal","Math metal"
"Metal","Metalcore"
"Metal","Deathcore"
"Metal","Mathcore"
"Metal","Melodic metalcore"
"Metal","Progressive metalcore"
"Metal","Neoclassical metal"
"Metal","Neue Deutsche Härte"
"Metal","New wave of American heavy metal"
"Metal","New wave of British heavy metal"
"Metal","Nintendocore"
"Metal","Pop metal"
"Metal","Power metal"
"Metal","Progressive metal"
"Metal","Djent"
"Metal","Sludge metal"
"Metal","Speed metal"
"Metal","Symphonic metal"
"Metal","Thrash metal"
"Metal","Crossover thrash"
"Metal","Groove metal"
"Punk","Afro-punk"
"Punk","Anarcho punk"
"Punk","Crust punk"
"Punk","D-beat"
"Punk","Art punk"
"Punk","Avant punk"
"Punk","Christian punk"
"Punk","Cowpunk"
"Punk","Deathrock"
"Punk","Electropunk"
"Punk","Cyberpunk"
"Punk","Dance-punk"
"Punk","Digital hardcore"
"Punk","Dreampunk"
"Punk","Synth punk"
"Punk","Folk punk"
"Punk","Celtic punk"
"Punk","Gypsy punk"
"Punk","Scottish Gaelic punk"
"Punk","Garage punk"
"Punk","German punk"
"Punk","Glam punk"
"Punk","Gothic punk"
"Punk","Grindcore"
"Punk","Crustgrind"
"Punk","Electrogrind"
"Punk","Goregrind"
"Punk","Noisegrind"
"Punk","Pornogrind"
"Punk","Hardcore punk"
"Punk","Bardcore"
"Punk","Beatdown hardcore"
"Punk","Christian hardcore"
"Punk","Crabcore"
"Punk","Crunkcore"
"Punk","Electronicore"
"Punk","Krishnacore"
"Punk","Melodic hardcore"
"Punk","Positive hardcore"
"Punk","Post-hardcore"
"Punk","Queercore"
"Punk","Taqwacore"
"Punk","Emo"
"Punk","Emo pop"
"Punk","Screamo"
"Punk","Powerviolence"
"Punk","Street punk"
"Punk","Horror punk"
"Punk","Latino punk"
"Punk","Nazi punk"
"Punk","Oi!"
"Punk","Pop punk"
"Punk","Easycore"
"Punk","Neon pop"
"Punk","Post-punk"
"Punk","Post-punk revival"
"Punk","Proto-punk"
"Punk","Psychobilly"
"Punk","Punkabilly"
"Punk","Punk blues"
"Punk","Punk jazz"
"Punk","Punk pathetique"
"Punk","Punk rap"
"Punk","Reggae punk"
"Punk","Riot grrrl"
"Punk","Ska punk"
"Punk","Skate punk"
"Punk","Surf punk"
"Punk","Trallpunk"
"African","African heavy metal"
"African","African hip hop"
"African","African popular music"
"African","Afro pop"
"African","Afrobeat"
"African","Afrobeats"
"African","Afro house"
"African","Amapiano"
"African","Apala"
"African","Arabesque"
"African","Afro tech"
"African","Benga"
"African","Bikutsi"
"African","Bongo flava"
"African","Boomba"
"African","Bubu music"
"African","Cape jazz"
"African","Chaabi"
"African","Chalga"
"African","Chaoui music"
"African","Chimurenga"
"African","Congolese rumba"
"African","Coupé-Décalé"
"African","Fuji music"
"African","Genge"
"African","Gnawa"
"African","Gqom"
"African","Gumbe"
"African","Highlife"
"African","Hiplife"
"African","Igbo highlife"
"African","Igbo rap"
"African","Ikorodo"
"African","Ikwokirikwo"
"African","Isicathamiya"
"African","Jit"
"African","Jùjú"
"African","Kadongo Kamu"
"African","Kizomba"
"African","Kuduro"
"African","Kwaito"
"African","Kwela"
"African","Lingala music"
"African","Makossa"
"African","Maloya"
"African","Ma'luf"
"African","Marabi"
"African","Marrabenta"
"African","Maskandi"
"African","Mbalax"
"African","Mbaqanga"
"African","Mbube"
"African","Morna"
"African","Music of Egypt"
"African","Music of Nigeria"
"African","Ndombolo"
"African","Owerri Bongo"
"African","Ojapiano"
"African","Palm-wine"
"African","Raï"
"African","Rumba"
"African","Sakara"
"African","Sega"
"African","Seggae"
"African","Semba"
"African","Shangaan electro"
"African","Soukous"
"African","Kwassa kwassa"
"African","Taarab"
"African","Zamrock"
"African","Zouglou"
"Antarctica","Nunatak"
"Asian","Shashmaqam"
"Asian","Pashto music"
"Asian","Kazakh folk music"
"Asian","Kyrgyz folk music"
"Asian","Mongolian folk music"
"Asian","Tuvan throat singing"
"Asian","Tajik folk music"
"Asian","C-pop"
"Asian","Cantopop"
"Asian","Hokkien pop"
"Asian","Mandopop"
"Asian","Chinese hip hop"
"Asian","Chinese folk music"
"Asian","Chinese rock"
"Asian","Hong Kong English pop"
"Asian","Hong Kong hip hop"
"Asian","Taiwanese hip hop"
"Asian","Taiwanese pop"
"Asian","Taiwanese rock"
"Asian","Anime song"
"Asian","Enka"
"Asian","J-pop"
"Asian","Japanese hip hop"
"Asian","Japanese jazz"
"Asian","Japanese rock"
"Asian","Kayōkyoku"
"Asian","K-pop"
"Asian","Korean folk music"
"Asian","Korean hip hop"
"Asian","Korean rock"
"Asian","Trot"
"Asian","Asian Underground"
"Asian","Baul"
"Asian","Bhangra"
"Asian","Bhawaiya"
"Asian","Dappankuthu"
"Asian","Dohori"
"Asian","Filmi"
"Asian","Indian classical"
"Asian","Carnatic"
"Asian","Hindustani classical"
"Asian","Indian jazz"
"Asian","Indian pop"
"Asian","Indian rock"
"Asian","Raga rock"
"Asian","Lavani"
"Asian","Morlam"
"Asian","Ragini"
"Asian","Sufi rock"
"Asian","Baila"
"Asian","Sri Lankan hip hop"
"Asian","Malaysian hip hop"
"Asian","Malaysian pop"
"Asian","Malaysian rock"
"Asian","Gamelan"
"Asian","Dangdut"
"Asian","Indo pop"
"Asian","Sundanese pop"
"Asian","Keroncong"
"Asian","Luk thung"
"Asian","Luk krung"
"Asian","Thai pop"
"Asian","Thai string pop"
"Asian","Manila sound"
"Asian","Original Pilipino"
"Asian","Pinoy pop"
"Asian","Pinoy rock"
"Asian","L-pop"
"Asian","Mor lam"
"Asian","V-pop"
"Asian","Arabic music"
"Asian","Arabic pop music"
"Asian","Fann at-Tanbura"
"Asian","Fijiri"
"Asian","Khaliji"
"Asian","Liwa"
"Asian","Music of Israel"
"Asian","Persian traditional music"
"Asian","Sawt"
"Asian","Music of Turkey"
"Asian","Turkish folk music"
"Asian","Gypsy music"
"Australasia & Oceania","Australian folk music"
"Australasia & Oceania","Australian hip hop"
"Australasia & Oceania","Indigenous music of Australia"
"Australasia & Oceania","Music of Hawaii"
"Australasia & Oceania","Music of New Zealand"
"Australasia & Oceania","Māori music"
"Australasia & Oceania","Kapa haka"
"Australasia & Oceania","Music of Polynesia"
"Australasia & Oceania","Music of Samoa"
"European","Balkan music"
"European","Balkan brass"
"European","Balkan folk music"
"European","Music of Albania"
"European","Music of Bosnia and Herzegovina"
"European","Sevdalinka"
"European","Music of Bulgaria"
"European","Music of Cyprus"
"European","Music of Greece"
"European","Music of Kosovo"
"European","Music of Montenegro"
"European","Music of North Macedonia"
"European","Music of Romania"
"European","Romani music"
"European","Manele"
"European","Gypsy music"
"European","Lithuanian folk music"
"European","Music of Estonia"
"European","Music of Latvia"
"European","Music of Armenia"
"European","Music of Azerbaijan"
"European","Music of Georgia"
"European","Music of Austria"
"European","Viennese waltz"
"European","Yodeling"
"European","Music of Croatia"
"European","Music of the Czech Republic"
"European","Polka"
"European","Music of Germany"
"European","Music of Hungary"
"European","Music of Liechtenstein"
"European","Music of Poland"
"European","Music of Serbia"
"European","Music of Slovakia"
"European","Music of Slovenia"
"European","Music of Switzerland"
"European","Nordic folk music"
"European","Music of Denmark"
"European","Danish traditional music"
"European","Music of Finland"
"European","Jenkka"
"European","Rautalanka"
"European","Music of Iceland"
"European","Music of Norway"
"European","Music of Sweden"
"European","Music of the Faroe Islands"
"European","Viking metal"
"European","Klezmer"
"European","Music of Belarus"
"European","Music of Moldova"
"European","Music of Russia"
"European","Music of Buryatia"
"European","Russian folk music"
"European","Music of Ukraine"
"European","Music of Yugoslavia"
"European","Music of Andorra"
"European","'''Music of Belgium'''"
"European","Belgian hardcore techno"
"European","Belgian hip-hop"
"European","Belgian jazz"
"European","Belgian rock"
"European","'''Music of France'''"
"European","French classical music"
"European","French electronic music"
"European","French folk music"
"European","Bal-musette"
"European","Chanson réaliste"
"European","French hip-hop"
"European","French house"
"European","French jazz"
"European","French pop music"
"European","'''Music of Ireland'''"
"European","Celtic music"
"European","'''Music of Italy'''"
"European","Italian classical music"
"European","Italian folk music"
"European","Italian hip-hop"
"European","Italian jazz"
"European","Italian popular music"
"European","Music of Luxembourg"
"European","Music of Malta"
"European","Music of Monaco"
"European","Music of the Netherlands"
"European","'''Music of Portugal'''"
"European","Portuguese folk music"
"European","Chula"
"European","Desgarrada"
"European","Fado"
"European","Coimbra fado"
"European","Pimba"
"European","Portuguese rock"
"European","'''Music of Spain'''"
"European","Spanish folk music"
"European","Chirigota"
"European","Copla"
"European","Cuplé"
"European","Ensalada"
"European","Fandango"
"European","Flamenco"
"European","Alegrías"
"European","Bulerías"
"European","Farruca"
"European","Garrotín"
"European","Rumba"
"European","Soleá"
"European","Tango"
"European","Tientos"
"European","Zambra"
"European","Jota"
"European","Muiñeira"
"European","Pasacalle"
"European","Pasodoble"
"European","Sardana"
"European","Seguidilla"
"European","Sevillanas"
"European","Tonadilla"
"European","Zortziko"
"European","Spanish jazz"
"European","Spanish rock"
"European","'''Music of the United Kingdom'''"
"European","Britpop"
"European","English folk music"
"European","Music of Scotland"
"European","Music of Wales"
"Latin & South American","Axé"
"Latin & South American","Brazilian rock"
"Latin & South American","Brega"
"Latin & South American","Tecnobrega"
"Latin & South American","Choro"
"Latin & South American","Forró"
"Latin & South American","Frevo"
"Latin & South American","Funk carioca"
"Latin & South American","Lambada"
"Latin & South American","Zouk-Lambada"
"Latin & South American","Maracatu"
"Latin & South American","Música popular brasileira"
"Latin & South American","Tropicalia"
"Latin & South American","Música sertaneja"
"Latin & South American","Samba"
"Latin & South American","Pagode"
"Latin & South American","Samba rock"
"Latin & South American","Baithak Gana"
"Latin & South American","Bouyon"
"Latin & South American","Cadence-lypso"
"Latin & South American","Calypso"
"Latin & South American","Cha-cha-chá"
"Latin & South American","Chutney"
"Latin & South American","Chutney soca"
"Latin & South American","Chutney parang"
"Latin & South American","Compas"
"Latin & South American","Dancehall"
"Latin & South American","Mambo"
"Latin & South American","Mento"
"Latin & South American","Merengue"
"Latin & South American","Méringue"
"Latin & South American","Mozambique"
"Latin & South American","Pichakaree"
"Latin & South American","Punta"
"Latin & South American","Punta rock"
"Latin & South American","Rasin"
"Latin & South American","Reggae"
"Latin & South American","Dub"
"Latin & South American","Lovers rock"
"Latin & South American","Ragga"
"Latin & South American","Reggae fusion"
"Latin & South American","Ragga jungle"
"Latin & South American","Reggae rock"
"Latin & South American","Reggaeton"
"Latin & South American","Alternative reggaeton"
"Latin & South American","Moombahton"
"Latin & South American","Roots reggae"
"Latin & South American","Rocksteady"
"Latin & South American","Rumba"
"Latin & South American","Salsa"
"Latin & South American","Ska"
"Latin & South American","Ska punk"
"Latin & South American","Two-tone"
"Latin & South American","Soca"
"Latin & South American","Power soca"
"Latin & South American","Son cubano"
"Latin & South American","Songo"
"Latin & South American","Timba"
"Latin & South American","Twoubadou"
"Latin & South American","Zouk"
"Latin & South American","Boogaloo"
"Latin & South American","Bullerengue"
"Latin & South American","Flamenco"
"Latin & South American","Cantes de ida y vuelta"
"Latin & South American","Fandangos"
"Latin & South American","Soleá"
"Latin & South American","Alegrías"
"Latin & South American","Bulerías"
"Latin & South American","Peteneras"
"Latin & South American","Tango"
"Latin & South American","Toná"
"Latin & South American","Martinetes"
"Latin & South American","Tonás"
"Latin & South American","Grupera"
"Latin & South American","Hispanic rhythmic"
"Latin & South American","Latin Christian"
"Latin & South American","Latin pop"
"Latin & South American","Latin ballad"
"Latin & South American","Latin rock"
"Latin & South American","Latin alternative"
"Latin & South American","Rock en Español"
"Latin & South American","Latin jazz"
"Latin & South American","Afro-Cuban jazz"
"Latin & South American","Bossa nova"
"Latin & South American","Mariachi"
"Latin & South American","Ranchera"
"Latin & South American","Latin trap"
"Latin & South American","Regional Mexican"
"Latin & South American","Banda"
"Latin & South American","Norteño"
"Latin & South American","Tropical"
"Latin & South American","Bachata"
"Latin & South American","Bolero"
"Latin & South American","Criolla"
"Latin & South American","Cumbia"
"Latin & South American","Chicha"
"Latin & South American","Porro"
"Latin & South American","Guajira"
"Latin & South American","Música popular"
"Latin & South American","Salsa romántica"
"Latin & South American","Son"
"Latin & South American","Tejano"
"Latin & South American","Tropipop"
"Latin & South American","Urbano music"
"Latin & South American","Vallenato"
"North American","American rock"
"North American","Canadian folk music"
"North American","Indigenous music of North America"
"North American","Inuit music"
"North American","Music of Alaska"
"North American","Indigenous music of Canada"
"North American","Music of Greenland"
"North American","Ragtime"
"North American","Cakewalk"
"North American","Classic rag"
"North American","Folk ragtime"
"North American","Honky-tonk piano"
"North American","Novelty piano"
"North American","Stomp"
"North American","Stride piano"
"North American","Swing music"
"Religious","Sikh music"
"Religious","Buddhist music"
"Religious","Christian music"
"Religious","Contemporary Christian music"
"Religious","Contemporary worship music"
"Religious","Christian Rock"
"Religious","Christian alternative rock"
"Religious","Easy Listening"
"Religious","Country Gospel"
"Religious","Church music"
"Religious","Gospel"
"Religious","Worship"
"Religious","Hymns"
"Religious","Jesus Music"
"Religious","Liturgical music"
"Religious","Spirituals"
"Religious","Gregorian chant"
"Religious","Islamic music"
"Religious","Modern pagan music"
"Religious","Music of ancient Greece"
"Religious","New-age music"
"Religious","Shamanic music"
"Traditional folk","American patriotic music"
"Traditional folk","Christmas music"
"Traditional folk","Fado"
"Traditional folk","Huayno"
"Traditional folk","Mele"
"Traditional folk","Pastorale"
"Traditional folk","Polka"
"Traditional folk","Ragtime"
"Traditional folk","Son mexicano"
"Traditional folk","Música criolla"
"Other","Ballroom dance music: pasodoble, cha cha cha and others"
"Other","Vogue"
"Other","Bedroom production"
"Other","Children's music"
"Other","Computer music"
"Other","Hyperpop"
"Other","Internet meme"
"Other","Dance music"
"Other","Slow dance"
"Other","Drug use in music"
"Other","Incidental music or ''music for stage and screen'': music written for the score of a film, play, musicals, or other spheres, such as filmi, video game music, music hall songs and showtunes and others"
"Other","Independent music"
"Other","Multi-instrumentalist"
"Other","A cappella"
"Other","Bassist"
"Other","Drummer"
"Other","Percussion"
"Other","Found object"
"Other","Guitarist"
"Other","Pianist"
"Other","Keyboardist"
"Other","One-man band"
"Other","LGBT music"
"Other","Patriotic music: military music, marches, national anthems, War songs and related compositions"
"Other","Martial industrial"
"Other","List of war metal bands"
"Other","Regional and national music with no significant commercial impact abroad, except when it is a version of an international genre, such as: traditional music, oral traditions, sea shanties, work songs, nursery rhymes, Arabesque and indigenous music. In North America and Western Europe, regional and national genres that are not from the Western world are sometimes classified as world music."
"Other","Theatre music"
"Other","Virtuoso"
"Other","Yodeling"
"Electronic","Ambient"
"Electronic","Ambient dub"
"Electronic","Dark ambient"
"Electronic","Ambient industrial"
"Electronic","Dungeon synth"
"Electronic","Isolationism"
"Electronic","Dreampunk"
