"og_genre","mapped_main_genre"
"funk metal","metal"
"funk rock","rock"
"funktronica","electronic"
"funky house","electronic"
"fusion","jazz"
"future bass","electronic"
"future rave","electronic"
"futurepop","electronic"
"g-funk","hip hop"
"gangsta rap","hip hop"
"garage","rock"
"garage pop","pop"
"garage punk","punk"
"garage rock","rock"
"garage rock revival","rock"
"geek rock","rock"
"german folk","folk"
"german hip hop","hip hop"
"german hip-hop","punk"
"german pop","pop"
"glam metal","metal"
"glam pop","pop"
"glam punk","punk"
"glam rock","rock"
"glitch","electronic"
"glitch hop","electronic"
"glitch pop","pop"
"go-go","r&b & soul"
"goa trance","electronic"
"golden age hip hop","hip hop"
"golden age hip-hop","other"
"gospel","other"
"gospel blues","blues / country"
"gospel music","r&b & soul"
"gospel reggae","world"
"goth-pop","pop"
"gothabilly","rock"
"gothic country","rock"
"gothic metal","metal"
"gothic rock","rock"
"grebo",""
"greek new wave","electronic"
"grime","electronic"
"grindcore","punk"
"groove jazz","jazz"
"groove metal","metal"
"group sounds",""
"grunge","rock"
"guaracha","electronic"
"gulf and western","classical"
"gypsy","jazz"
"gypsy jazz","jazz"
"gypsy punk","punk"
"happy hardcore","electronic"
"hard bop","jazz"
"hard rock","rock"
"hardcore hip hop","hip hop"
"hardcore hip-hop","hip hop"
"hardcore punk","punk"
"hardcore rap","electronic"
"hardcore techno","electronic"
"hawaiian","world"
"heartland rock","rock"
"heavy metal","metal"
"hebrew",""
"hi-nrg","electronic"
"hillbilly",""
"hip hop","electronic"
"hip hop soul","r&b & soul"
"hip house","hip hop"
"hip-hop","hip hop"
"hip-hop soul","hip hop"
"hokum","blues / country"
"hong kong english pop","world"
"honky tonk","world"
"honky-tonk","world"
"horror punk","punk"
"horrorcore","hip hop"
"house","electronic"
"house music","electronic"
"humppa",""
"hyperpop","electronic"
"idm",""
"illbient","electronic"
"improvisational comedy","rock"
"indian classical","world"
"indie","folk"
"indie dance","folk"
"indie electronic","electronic"
"indie folk","folk"
"indie pop","pop"
"indie rock","rock"
"indie soul","r&b & soul"
"indie-pop","pop"
"indietronica","electronic"
"industrial","electronic"
"industrial dance","electronic"
"industrial metal","electronic"
"industrial rock","electronic"
"industrial techno","electronic"
"instrumental","avant-garde & experimental"
"instrumental hip hop","electronic"
"instrumental rock","rock"
"irish folk","folk"
"irish folk music","folk"
"irish rebel songs","other"
"irish traditional","folk"
"isicathamiya","world"
"iskelm",""
"islamic","other"
"italian folk","folk"
"italian progressive rock","rock"
"italo disco","electronic"
"italo house","electronic"
"j-pop","world"
"jam",""
"jam band","jazz"
"jam rock","rock"
"jangle pop","rock"
"japanese pop","pop"
"jazz","jazz"
"jazz blues","jazz"
"jazz funk","jazz"
"jazz fusion","jazz"
"jazz house","electronic"
"jazz music","jazz"
"jazz poetry","jazz"
"jazz rap","hip hop"
"jazz rock","rock"
"jazz standards","jazz"
"jazz-funk","jazz"
"jazz-pop","jazz"
"jazz-rock","jazz"
"jazzstep","electronic"
"jenkka","world"
"jingle",""
"journalism",""
"jump blues","blues / country"
"jungle","electronic"
"k-hip hop","hip hop"
"k-pop","world"
"kaykyoku",""
"kayokyoku",""
"kirtan",""
"klezmer","world"
"kosmische","electronic"
"krautrock","electronic"
"lako",""
"later years",""
"latin","world"
"latin alternative","world"
"latin house","electronic"
"latin jazz","world"
"latin metal","metal"
"latin pop","world"
"latin rock","world"
"levenslied",""
"library music","classical"
"light music","easy listening"
"light orchestral","easy listening"
"lo-fi","avant-garde & experimental"
"louisiana creole music","folk"
"lounge","easy listening"
"lounge music","easy listening"
"lounge pop","pop"
"lovers rock","world"
"lyricist",""
"madchester","rock"
"mafioso rap","hip hop"
"mainstream jazz","jazz"
"mambo","world"
"mandopop","world"
"manserock","rock"
"marabi","world"
"mariachi","world"
"martial industrial","electronic"
"maskanda",""
"maskandi","world"
"math rock","rock"
"mathcore","metal"
"mbaqanga","world"
"medieval folk rock","rock"
"medieval metal","metal"
"melodic black metal","metal"
"melodic death metal","metal"
"melodic hardcore","punk"
"melodic metalcore","metal"
"memphis blues","blues / country"
"memphis soul","r&b & soul"
"mento","world"
"merseybeat",""
"metal","rock"
"metalcore","metal"
"microtonal",""
"middle eastern","easy listening"
"middle-of-the-road","easy listening"
"midwest emo","rock"
"midwestern hip hop","hip hop"
"midwestern hip-hop","hip hop"
"minimal","classical"
"minimal synth","classical"
"minimal wave","electronic"
"minimalism",""
"minimalist",""
"mizrahi",""
"mod revival","rock"
"modal jazz","jazz"
"modern chanson","pop"
"modern classical","classical"
"modern jazz","jazz"
"moombahton","electronic"
"mor","world"
"morocco pop","pop"
"motion picture and television musicals","classical"
"motown",""
"mpb",""
"msica popular brasileira","r&b & soul"
"mugham",""
"music","classical"
"music for children","classical"
"musical","avant-garde & experimental"
"musical comedy","avant-garde & experimental"
"musical film","avant-garde & experimental"
"musical theater","avant-garde & experimental"
"musical theatre","avant-garde & experimental"
"musicals","other"
"musique concrte","electronic"
"nashville sound","r&b & soul"
"ndw",""
"neapolitan",""
"neapolitan song","folk"
"nederbeat","rock"
"neo folk rock","folk"
"neo soul","hip hop"
"neo-classical","classical"
"neo-dada","jazz"
"neo-medieval music","classical"
"neo-prog","rock"
"neo-psychedelia","rock"
"neoclassical","classical"
"neoclassical dark wave","electronic"
"neoclassical metal","metal"
"neofolk","folk"
"neon pop punk","punk"
"neon pop-punk","punk"
"neotraditional country","blues / country"
"neotraditionalist country","blues / country"
"neue deutsche hrte","electronic"
"neue deutsche welle","electronic"
"neue volksmusik","electronic"
"new","blues / country"
"new age","blues / country"
"new jack swing","hip hop"
"new music","blues / country"
"new orleans r&b","r&b & soul"
"new pop","pop"
"new prog","rock"
"new rave","electronic"
"new romantic","electronic"
"new wave","electronic"
"new-age","electronic"
"no wave","rock"
"noise","avant-garde & experimental"
"noise pop","rock"
"noise rock","rock"
"non-fiction",""
"non-fiction books",""
"nordic folk","folk"
"northern soul","r&b & soul"
"northie",""
"novel",""
"novelist",""
"novelty","world"
"novelty songs","world"
"ntekhno",""
"nu disco","electronic"
"nu jazz","electronic"
"nu metal","metal"
"nu-disco","electronic"
"nu-funk","electronic"
"nueva cancin","folk"
"nueva ola","folk"
"nuevo tango","world"
"observational comedy","rock"
"occult rock","rock"
"oi",""
"old school hip hop","hip hop"
"old skool","electronic"
"old style",""
"old-time",""
"old-time music","classical"
"opera","rock"
"operatic pop","pop"
"operetta",""
"orchestra",""
"orchestral","jazz"
"orchestral jazz","jazz"
"orchestral music","jazz"
"orchestral pop","pop"
"outlaw country","blues / country"
"outsider","avant-garde & experimental"
"p-funk","electronic"
"pachanga",""
"painting",""
"parody",""
"parody music","classical"
"performance art","pop"
"persian","classical"
"philadelphia soul","r&b & soul"
"philly soul","r&b & soul"
"physical comedy","rock"
"piedmont blues","blues / country"
"pirate metal","metal"
"playwright",""
"plunderphonics","electronic"
"poetry","folk"
"political hip hop","hip hop"
"political hip-hop","hip hop"
"political rap","hip hop"
"political satire","hip hop"
"polka","folk"
"pop","pop"
"pop covers","pop"
"pop metal","metal"
"pop music","pop"
"pop punk","punk"
"pop rap","hip hop"
"pop rock","rock"
"pop soul","pop"
"pop-punk","punk"
"pop-rap","pop"
"pop-rock","rock"
"pops","pop"
"popular","pop"
"popular music","pop"
"popular songs","pop"
"post punk","punk"
"post punk revival","punk"
"post-bop","jazz"
"post-britpop","world"
"post-disco","electronic"
"post-dubstep","electronic"
"post-grunge","rock"
"post-hardcore","punk"
"post-industrial","electronic"
"post-metal","metal"
"post-progressive","rock"
"post-punk","punk"
"post-punk revival","punk"
"post-rock","electronic"
"power ballad","r&b & soul"
"power metal","metal"
"power pop","rock"
"powerviolence","punk"
"previously",""
"prog rock","rock"
"progg",""
"progressive","avant-garde & experimental"
"progressive country","avant-garde & experimental"
"progressive death metal","metal"
"progressive folk","folk"
"progressive house","electronic"
"progressive jazz","jazz"
"progressive metal","metal"
"progressive metalcore","metal"
"progressive pop","pop"
"progressive r&b","r&b & soul"
"progressive rap","hip hop"
"progressive rock","rock"
"progressive soul","r&b & soul"
"progressive trance","electronic"
"protest music","folk"
"protest song","folk"
"proto-metal","metal"
"proto-prog","rock"
"proto-punk","punk"
"proto-rap","punk"
"protopunk","punk"
"psychedelia","rock"
"psychedelic","avant-garde & experimental"
"psychedelic folk","folk"
"psychedelic funk","r&b & soul"
"psychedelic pop","pop"
"psychedelic rap","avant-garde & experimental"
"psychedelic rock","rock"
"psychedelic soul","r&b & soul"
"psychedelic trance","electronic"
"psychobilly","punk"
"psytrance","electronic"
"pub rock","rock"
"punk","punk"
"punk blues","punk"
"punk jazz","punk"
"punk pathetique","punk"
"punk revival","punk"
"punk rock","rock"
"quiet storm","r&b & soul"
"r&b","electronic"
"r&bsoul","r&b & soul"
"raga rock","world"
"ragga","world"
"ragtime","folk"
"rap","hip hop"
"rap metal","hip hop"
"rap rock","hip hop"
"rapcore","hip hop"
"rautalanka","world"
"rave","electronic"
"rb","r&b & soul"
"reggae","world"
"reggae fusion","world"
"reggae rock","world"
"reggae-pop","pop"
"reggaeton","world"
"religious music","classical"
"revue",""
"revues",""
"rhythm & blues","r&b & soul"
"rhythm and blues","r&b & soul"
"ringbang",""
"riot grrrl","punk"
"rock","rock"
"rock & roll","rock"
"rock -electronic","electronic"
"rock and roll","rock"
"rock en espaol","rock"
"rock glam metal lounge","metal"
"rock music","rock"
"rock n roll","rock"
"rock opera","rock"
"rockabilly","rock"
"rocknroll","rock"
"rocksteady","world"
"romani","world"
"roots","rock"
"roots reggae","world"
"roots rock","rock"
"sadcore","rock"
"salsa","world"
"samba","world"
"samba funk","electronic"
"samba rock","world"
"sambalano",""
"satire",""
"saxophone",""
"schlager","pop"
"science fiction",""
"score","other"
"scottish folk","folk"
"screamo","punk"
"scrumpy and western","classical"
"sertanejo",""
"shibuya-kei","pop"
"shock rock","rock"
"shoegaze","rock"
"shoegazing",""
"short stories",""
"short story",""
"short story writer",""
"show tune",""
"show tunes",""
"sing-along",""
"singer","folk"
"singer-songwriter","folk"
"ska","world"
"ska jazz","jazz"
"ska punk","world"
"ska-core","world"
"ska-jazz","jazz"
"skate punk","punk"
"sketch comedy","rock"
"slacker rock","rock"
"sleaze rock","rock"
"slowcore","rock"
"sludge metal","metal"
"smooth jazz","jazz"
"snap","hip hop"
"soca","world"
"soft rock","rock"
"son","world"
"songwriter","folk"
"sophisti-pop","electronic"
"soul","r&b & soul"
"soul blues","blues / country"
"soul jazz","jazz"
"soul music","r&b & soul"
"soul pop","pop"
"soul-blues","r&b & soul"
"sound collage","r&b & soul"
"sound-alike","r&b & soul"
"soundtrack",""
"soundtracks",""
"south african jazz","jazz"
"southern gospel","r&b & soul"
"southern hip hop","hip hop"
"southern hip-hop","hip hop"
"southern metal","metal"
"southern rock","rock"
"southern soul","r&b & soul"
"space age pop","pop"
"space rock","electronic"
"speed metal","metal"
"spirituals","other"
"spoken word",""
"stadium house","electronic"
"stoner comedy","rock"
"stoner metal","metal"
"stoner rock","rock"
"storytelling",""
"straight-ahead jazz","jazz"
"street punk","punk"
"stride","jazz"
"sunshine pop","pop"
"suomirock","rock"
"surf","pop"
"surf music","pop"
"surf punk","punk"
"surf rock","rock"
"swamp blues","blues / country"
"swamp pop","pop"
"swamp rock","rock"
"swedish folk","folk"
"swedish pop","pop"
"swing","jazz"
"swing music","world"
"swing revival","jazz"
"symphonic black metal","metal"
"symphonic metal","metal"
"symphonic power metal","metal"
"symphonic rock","rock"
"synth pop","pop"
"synth-pop","electronic"
"synth-punk","electronic"
"synth-rock","rock"
"synthpop","pop"
"synthpunk","punk"
"synthwave","electronic"
"tango","world"
"tape",""
"teatro canzone","pop"
"tech house","electronic"
"technical death metal","metal"
"technical thrash metal","metal"
"techno","electronic"
"technopop","pop"
"teen pop","pop"
"tejano","world"
"tejanotex-mex",""
"television",""
"tex-mex",""
"tex-mex cumbia","world"
"texas blues","blues / country"
"texas country","blues / country"
"theatre","other"
"theme music","classical"
"third stream","jazz"
"thrash metal","metal"
"thrashcore",""
"tin pan alley",""
"torch songs","other"
"tough guy hardcore","electronic"
"township",""
"traditional","folk"
"traditional black gospel","other"
"traditional country","folk"
"traditional irish","folk"
"traditional pop","pop"
"traditional popular music","folk"
"trallpunk","punk"
"trance","electronic"
"trap","electronic"
"trip hop","hip hop"
"tropical","world"
"tropical house","electronic"
"tropiclia",""
"trova",""
"truck-driving country","blues / country"
"turntablism","hip hop"
"tuvan throat singing","world"
"twang",""
"twee pop","pop"
"two-tone","world"
"uk bass","electronic"
"uk funky","electronic"
"uk garage","electronic"
"uk rap","hip hop"
"underground rock","rock"
"urban","r&b & soul"
"urban blues","r&b & soul"
"urban contemporary","r&b & soul"
"urban contemporary gospel","r&b & soul"
"urban pop","r&b & soul"
"various",""
"various-rock","rock"
"varits",""
"vaudeville",""
"vaudeville blues","blues / country"
"video","other"
"video game score","other"
"viking metal","world"
"viking rock","rock"
"vispop","pop"
"vocal","jazz"
"vocal jazz","jazz"
"vocal pop","pop"
"vocal trance","electronic"
"vocalese",""
"volksmusik",""
"wagnerian rock","rock"
"wave","electronic"
"weird fiction","folk"
"west coast blues","blues / country"
"west coast hip hop","hip hop"
"west coast hip-hop","hip hop"
"west coast jazz","jazz"
"western","classical"
"western films","classical"
"western music","classical"
"western pop music","pop"
"western swing","jazz"
"wind band","jazz"
"wonky","electronic"
"word play","other"
"world","world"
"world fusion","rock"
"world music","world"
"worldbeat","electronic"
"y-y",""
"yacht rock","rock"
"yodelling",""
"yoruba music","classical"
"youth crew",""
"zulu",""
"zulu music","classical"
"zydeco",""
